STRUCTURE,STRUCTURE_ID,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2019-06,3076363
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2019-07,3423629
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2019-08,3092494
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2019-09,4788100
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2019-10,4242881
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2019-11,4377161
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2019-12,4880249
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-01,5722724
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-02,3785452
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-03,3860299
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-04,2443831
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-05,2091706
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-06,3273659
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-07,2867799
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-08,2468157
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-09,2823047
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-10,2931014
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-11,2776875
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2020-12,2963617
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-01,3389756
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-02,3247639
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-03,4374120
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-04,2643643
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-05,3717874
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-06,3367330
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-07,3194055
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-08,3134240
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-09,4020595
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-10,5355904
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-11,5517998
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2021-12,5690149
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-01,5421756
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-02,5410788
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-03,6059066
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-04,4567908
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-05,5822479
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-06,5788944
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-07,4030014
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-08,5456241
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-09,5998346
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-10,7142346
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-11,6865943
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2022-12,5945098
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2023-01,6365336
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2023-02,6316615
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2023-03,6937639
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2023-04,5106873
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2023-05,6057134
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2023-06,5490795
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2023-07,4650605
dataflow,ESTAT:DS-059331(1.0),M,NO,AE,0,2,VALUE_EUR,2023-08,4742216
